"Mot";"Pinyin";"Nature / Structure";"Signification";"Exemple";"HSK";"Chapitre"
"时代";"shídài";"n.";"époque, ère";"我们生活在一个新的时代。
wǒmen shēnghuó zài yí gè xīn de shídài。
Nous vivons dans une nouvelle ère。";"5";"3"
"以来";"yǐlái";"loc.";"depuis (indique une durée depuis un moment passé jusqu’à maintenant)";"改革开放以来，中国发生了巨大的变化。
gǎigé kāifàng yǐlái, zhōngguó fāshēng le jùdà de biànhuà。
Depuis la politique de réforme et d’ouverture, la Chine a connu d’immenses changements。";"5";"3"
"各自";"gèzì";"pron.";"chacun, respectif";"他们各自去上班。
tāmen gèzì qù shàngbān。
Chacun est parti au travail。";"5";"3"
"勿";"wù";"adv.";"ne pas (langage formel, impératif)";"请勿吸烟。
qǐng wù xīyān。
Ne pas fumer s’il vous plaît。";"5";"3"
"通 过";"tōngguò";"prep./v.";"au moyen de, à travers ; passer par";"他通过考试了。
tā tōngguò kǎoshì le。
Il a réussi l’examen。";"5";"3"
"之一";"zhī yī";"expr.";"l’un de, parmi";"他是我们班最聪明的学生之一。
tā shì wǒmen bān zuì cōngmíng de xuéshēng zhī yī。
C’est l’un des élèves les plus intelligents de la classe。";"5";"3"
"不仅…还…";"bùjǐn…hái…";"loc.";"non seulement… mais encore…";"他不仅会说汉语，还会说日语。
tā bùjǐn huì shuō hànyǔ, hái huì shuō rìyǔ。
Il parle non seulement chinois, mais aussi japonais。";"5";"3"
"一辈子";"yíbèizi";"n.";"toute une vie";"他们一辈子都住在这个城市。
tāmen yíbèizi dōu zhù zài zhège chéngshì。
Ils ont vécu toute leur vie dans cette ville。";"5";"3"
"由";"yóu";"prep.";"par, grâce à (indique l’agent de l’action)";"这个计划由他负责。
zhège jìhuà yóu tā fùzé。
Ce projet est dirigé par lui。";"5";"3"
"于是";"yúshì";"conj.";"alors, donc (introduit une conséquence logique)";"天黑了，于是我们回家了。
tiān hēi le, yúshì wǒmen huí jiā le。
La nuit est tombée, alors nous sommes rentrés à la maison。";"5";"3"
"之一";"zhī yī";"expr.";"l’un de, parmi";"这是我最喜欢的电影之一。
zhè shì wǒ zuì xǐhuān de diànyǐng zhī yī。
C’est l’un de mes films préférés。";"5";"3"
"而";"ér";"conj.";"mais, tandis que (relie deux propositions contrastées)";"他喜欢热闹，而我喜欢安静。
tā xǐhuān rènào, ér wǒ xǐhuān ānjìng。
Il aime l’animation, tandis que j’aime le calme。";"5";"3"
"通过…(来)…";"tōngguò (…lái)…";"loc.";"exprime le moyen ou le canal utilisé pour réaliser une action";"我通过朋友了解了这件事。
wǒ tōngguò péngyou liǎojiě le zhè jiàn shì。
J’ai appris cette affaire par un ami。";"5";"3"
"无论…都…";"wúlùn…dōu…";"loc.";"quelle que soit la condition, toujours…";"无论天气多冷，他都去跑步。
wúlùn tiānqì duō lěng, tā dōu qù pǎobù。
Quel que soit le froid, il va courir。";"5";"3"
"只要…就…";"zhǐyào…jiù…";"loc.";"si… alors… (condition suffisante)";"只要努力，就会成功。
zhǐyào nǔlì, jiù huì chénggōng。
Si tu fais des efforts, tu réussiras。";"5";"3"
"既…又…";"jì…yòu…";"loc.";"à la fois… et…";"他既聪明又勤奋。
tā jì cōngmíng yòu qínfèn。
Il est à la fois intelligent et travailleur。";"5";"3"
"一切";"yíqiè";"pron.";"tout, n’importe quoi";"一切都会好起来。
yíqiè dōu huì hǎo qǐlái。
Tout ira mieux。";"5";"3"
"因为…而…";"yīnwèi…ér…";"loc.";"exprime la cause et le résultat";"他因为感冒而缺课。
tā yīnwèi gǎnmào ér quē kè。
Il a manqué le cours à cause d’un rhume。";"5";"3"
"反而";"fǎn’ér";"adv.";"au contraire";"他帮了忙，事情反而更乱了。
tā bāng le máng, shìqíng fǎn’ér gèng luàn le。
Il a voulu aider, mais les choses sont devenues encore plus confuses。";"5";"3"
